Salon Name,Address,Closing Time
Salon Soleil,"Via Bernardino Stazio 8B, 6900 Massagno",
SALONE CONTICELLO,"Viale dei Faggi 9, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Salone d'Arte Coiffure,"Via S. Carlo 3, 6932 Breganzona",
Salone Domino,"Via Coremmo 1, 6900 Lugano",
Salone Giusy,"Via Giacomo Mercoli 5, 6900 Lugano",
Salone Jasmine,"Via Avv. B. Leoni 6, 6932 Breganzona"," Open
 – Closes today at 6:30 PM"
Salone Mauro,"Via Alla Bozzoreda 43, 6963 Pregassona"," Closed
 – Opens in an hour"
Salone Perchè No,"Via Boschina 7, 6963 Pregassona"," Open
 – Closes today at 6:30 PM"
Salone Yes,"Via Pessina 7, 6900 Lugano",
Studio Mary,"Corso Elvezia 24, 6900 Lugano",
Un diavolo per capello,"Via Pretorio 15, 6900 Lugano",
Verve,"Via Giuseppe Motta 1, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Black and White,"Via Vittorino Vella 2, 6900 Lugano",
M&A My Style Sagl,"Via Berna 15, 6900 Lugano",
my Clinic Sagl,"Via al Fiume 7, 6962 Viganello",
ABOUT MEN,"Via alla Bozzoreda 44, 6963 Pregassona"," Open
 – Closes today at 6:30 PM"
Angelo Mauri,"Via Gerolamo Vegezzi 4, 6900 Lugano"," Open
 – Closes today at 6:00 PM"
Angje,"Via Luigi Lavizzari 7, 6900 Lugano",
Atelier Symphony,"Via Giacomo Luvini 7, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Azar Coiffure Lei e Lui,"Via Trevano 59, 6900 Lugano",
Bolle Blu,"Via Massagno 20, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Cardamone Davide,"Corso Elvezia 3, 6900 Lugano",
Coiffeur La Fenice,"Via Clemente Maraini 31, 6900 Lugano"," Open
 – Closes today at 5:00 PM"
Coiffure Artistic,"Via Trevano 24, 6900 Lugano"," Open
 – Closes today at 9:00 PM"
Coiffure Designe,"Via Giulio Vicari, 6900 Lugano"," Open
 – Closes today at 6:15 PM"
Cosmopolitan Coiffeur A Revolution in Hairstyling Lugano,"Corso Pestalozzi 4, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Creativa,"Via Romeo Manzoni 6, 6900 Lugano",
Dario Novelli Coiffeur,"Via Giovanni Nizzola 2, 6900 Lugano"," Open
 – Closes today at 9:00 PM"
David Hair Organic,"Via Guglielmo Marconi 2, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
ELYSEE COIFFURE,"Via Monte Boglia 5, 6900 Lugano",
Equipe Ornella,"Viale Giuseppe Cattori 9, 6900 Paradiso"," Open
 – Closes today at 6:00 PM"
