qid,docid,docno,rank,score,query
1,53,53,96,-1.6690020429219259,Hairdresser Lugano
1,70,70,97,-1.6690020429219259,Hairdresser Lugano
1,71,71,98,-1.6690020429219259,Hairdresser Lugano
1,132,132,99,-1.6690020429219259,Hairdresser Lugano
1,155,155,100,-1.6690020429219259,Hairdresser Lugano
1,176,176,101,-1.6690020429219259,Hairdresser Lugano
1,195,195,102,-1.6690020429219259,Hairdresser Lugano
1,239,239,103,-1.6690020429219259,Hairdresser Lugano
1,316,316,104,-1.6690020429219259,Hairdresser Lugano
1,321,321,105,-1.6690020429219259,Hairdresser Lugano
1,403,403,106,-1.6690020429219259,Hairdresser Lugano
1,486,486,107,-1.6690020429219259,Hairdresser Lugano
1,512,512,108,-1.6690020429219259,Hairdresser Lugano
1,514,514,109,-1.6690020429219259,Hairdresser Lugano
1,546,546,110,-1.6690020429219259,Hairdresser Lugano
1,561,561,111,-1.6690020429219259,Hairdresser Lugano
1,658,658,112,-1.6690020429219259,Hairdresser Lugano
1,765,765,113,-1.6690020429219259,Hairdresser Lugano
1,821,821,114,-1.6690020429219259,Hairdresser Lugano
1,915,915,115,-1.6690020429219259,Hairdresser Lugano
1,1002,1002,116,-1.6690020429219259,Hairdresser Lugano
1,1148,1148,117,-1.6690020429219259,Hairdresser Lugano
1,1221,1221,118,-1.6690020429219259,Hairdresser Lugano
1,1253,1253,119,-1.6690020429219259,Hairdresser Lugano
1,1265,1265,120,-1.6690020429219259,Hairdresser Lugano
1,1346,1346,121,-1.6690020429219259,Hairdresser Lugano
1,1392,1392,122,-1.6690020429219259,Hairdresser Lugano
1,1489,1489,123,-1.6690020429219259,Hairdresser Lugano
1,1493,1493,124,-1.6690020429219259,Hairdresser Lugano
1,1603,1603,125,-1.6690020429219259,Hairdresser Lugano
1,7,7,126,-1.712899531952089,Hairdresser Lugano
1,21,21,127,-1.712899531952089,Hairdresser Lugano
1,29,29,128,-1.712899531952089,Hairdresser Lugano
1,32,32,129,-1.712899531952089,Hairdresser Lugano
1,34,34,130,-1.712899531952089,Hairdresser Lugano
1,64,64,131,-1.712899531952089,Hairdresser Lugano
1,92,92,132,-1.712899531952089,Hairdresser Lugano
1,103,103,133,-1.712899531952089,Hairdresser Lugano
1,134,134,134,-1.712899531952089,Hairdresser Lugano
1,157,157,135,-1.712899531952089,Hairdresser Lugano
1,171,171,136,-1.712899531952089,Hairdresser Lugano
1,187,187,137,-1.712899531952089,Hairdresser Lugano
1,199,199,138,-1.712899531952089,Hairdresser Lugano
1,215,215,139,-1.712899531952089,Hairdresser Lugano
1,216,216,140,-1.712899531952089,Hairdresser Lugano
1,234,234,141,-1.712899531952089,Hairdresser Lugano
1,240,240,142,-1.712899531952089,Hairdresser Lugano
1,248,248,143,-1.712899531952089,Hairdresser Lugano
1,282,282,144,-1.712899531952089,Hairdresser Lugano
1,304,304,145,-1.712899531952089,Hairdresser Lugano
1,324,324,146,-1.712899531952089,Hairdresser Lugano
1,326,326,147,-1.712899531952089,Hairdresser Lugano
1,330,330,148,-1.712899531952089,Hairdresser Lugano
1,337,337,149,-1.712899531952089,Hairdresser Lugano
1,393,393,150,-1.712899531952089,Hairdresser Lugano
1,409,409,151,-1.712899531952089,Hairdresser Lugano
1,424,424,152,-1.712899531952089,Hairdresser Lugano
1,467,467,153,-1.712899531952089,Hairdresser Lugano
1,475,475,154,-1.712899531952089,Hairdresser Lugano
1,508,508,155,-1.712899531952089,Hairdresser Lugano
1,511,511,156,-1.712899531952089,Hairdresser Lugano
1,525,525,157,-1.712899531952089,Hairdresser Lugano
1,529,529,158,-1.712899531952089,Hairdresser Lugano
1,605,605,159,-1.712899531952089,Hairdresser Lugano
1,622,622,160,-1.712899531952089,Hairdresser Lugano
1,638,638,161,-1.712899531952089,Hairdresser Lugano
1,662,662,162,-1.712899531952089,Hairdresser Lugano
1,663,663,163,-1.712899531952089,Hairdresser Lugano
1,666,666,164,-1.712899531952089,Hairdresser Lugano
1,806,806,165,-1.712899531952089,Hairdresser Lugano
1,863,863,166,-1.712899531952089,Hairdresser Lugano
1,914,914,167,-1.712899531952089,Hairdresser Lugano
1,958,958,168,-1.712899531952089,Hairdresser Lugano
1,960,960,169,-1.712899531952089,Hairdresser Lugano
1,997,997,170,-1.712899531952089,Hairdresser Lugano
1,1003,1003,171,-1.712899531952089,Hairdresser Lugano
1,1014,1014,172,-1.712899531952089,Hairdresser Lugano
1,1020,1020,173,-1.712899531952089,Hairdresser Lugano
1,1023,1023,174,-1.712899531952089,Hairdresser Lugano
1,1085,1085,175,-1.712899531952089,Hairdresser Lugano
1,1119,1119,176,-1.712899531952089,Hairdresser Lugano
1,1150,1150,177,-1.712899531952089,Hairdresser Lugano
1,1153,1153,178,-1.712899531952089,Hairdresser Lugano
1,1173,1173,179,-1.712899531952089,Hairdresser Lugano
1,1202,1202,180,-1.712899531952089,Hairdresser Lugano
1,1215,1215,181,-1.712899531952089,Hairdresser Lugano
1,1217,1217,182,-1.712899531952089,Hairdresser Lugano
1,1285,1285,183,-1.712899531952089,Hairdresser Lugano
1,1409,1409,184,-1.712899531952089,Hairdresser Lugano
1,1538,1538,185,-1.712899531952089,Hairdresser Lugano
1,1601,1601,186,-1.712899531952089,Hairdresser Lugano
1,2227,2227,187,-1.712899531952089,Hairdresser Lugano
1,2918,2918,188,-1.712899531952089,Hairdresser Lugano
1,6,6,189,-1.7591685478339105,Hairdresser Lugano
1,20,20,190,-1.7591685478339105,Hairdresser Lugano
1,45,45,191,-1.7591685478339105,Hairdresser Lugano
1,86,86,192,-1.7591685478339105,Hairdresser Lugano
1,102,102,193,-1.7591685478339105,Hairdresser Lugano
1,104,104,194,-1.7591685478339105,Hairdresser Lugano
1,110,110,195,-1.7591685478339105,Hairdresser Lugano
1,124,124,196,-1.7591685478339105,Hairdresser Lugano
1,182,182,197,-1.7591685478339105,Hairdresser Lugano
1,211,211,198,-1.7591685478339105,Hairdresser Lugano
1,233,233,199,-1.7591685478339105,Hairdresser Lugano
1,236,236,200,-1.7591685478339105,Hairdresser Lugano
1,264,264,201,-1.7591685478339105,Hairdresser Lugano
1,295,295,202,-1.7591685478339105,Hairdresser Lugano
1,301,301,203,-1.7591685478339105,Hairdresser Lugano
1,362,362,204,-1.7591685478339105,Hairdresser Lugano
1,367,367,205,-1.7591685478339105,Hairdresser Lugano
1,437,437,206,-1.7591685478339105,Hairdresser Lugano
1,438,438,207,-1.7591685478339105,Hairdresser Lugano
1,470,470,208,-1.7591685478339105,Hairdresser Lugano
1,472,472,209,-1.7591685478339105,Hairdresser Lugano
1,483,483,210,-1.7591685478339105,Hairdresser Lugano
1,505,505,211,-1.7591685478339105,Hairdresser Lugano
1,510,510,212,-1.7591685478339105,Hairdresser Lugano
1,517,517,213,-1.7591685478339105,Hairdresser Lugano
1,523,523,214,-1.7591685478339105,Hairdresser Lugano
1,535,535,215,-1.7591685478339105,Hairdresser Lugano
1,568,568,216,-1.7591685478339105,Hairdresser Lugano
1,585,585,217,-1.7591685478339105,Hairdresser Lugano
1,604,604,218,-1.7591685478339105,Hairdresser Lugano
1,608,608,219,-1.7591685478339105,Hairdresser Lugano
1,609,609,220,-1.7591685478339105,Hairdresser Lugano
1,617,617,221,-1.7591685478339105,Hairdresser Lugano
1,653,653,222,-1.7591685478339105,Hairdresser Lugano
1,815,815,223,-1.7591685478339105,Hairdresser Lugano
1,826,826,224,-1.7591685478339105,Hairdresser Lugano
1,828,828,225,-1.7591685478339105,Hairdresser Lugano
1,869,869,226,-1.7591685478339105,Hairdresser Lugano
1,894,894,227,-1.7591685478339105,Hairdresser Lugano
1,897,897,228,-1.7591685478339105,Hairdresser Lugano
1,935,935,229,-1.7591685478339105,Hairdresser Lugano
1,955,955,230,-1.7591685478339105,Hairdresser Lugano
1,961,961,231,-1.7591685478339105,Hairdresser Lugano
1,989,989,232,-1.7591685478339105,Hairdresser Lugano
1,991,991,233,-1.7591685478339105,Hairdresser Lugano
1,1029,1029,234,-1.7591685478339105,Hairdresser Lugano
1,1042,1042,235,-1.7591685478339105,Hairdresser Lugano
1,1080,1080,236,-1.7591685478339105,Hairdresser Lugano
1,1083,1083,237,-1.7591685478339105,Hairdresser Lugano
1,1094,1094,238,-1.7591685478339105,Hairdresser Lugano
1,1167,1167,239,-1.7591685478339105,Hairdresser Lugano
